H3K4me1_chr1-3556 1_internal_22891
H3K4me1_chr1-102384 1_internal_24005
H3K4me1_chr1-102660 1_internal_20866
H3K4me1_chr1-102865 1_internal_24712
H3K4me1_chr1-103573 1_internal_24734
H3K4me1_chr1-103664 1_internal_17443
H3K4me1_chr1-103668 1_internal_24702
H3K4me1_chr1-103756 1_internal_20866
H3K4me1_chr1-103813 1_internal_20327
H3K4me1_chr1-103827 1_internal_24605
H3K4me1_chr1-103865 1_internal_16088
H3K4me1_chr1-103939 1_internal_20933
H3K4me1_chr1-103956 1_internal_24712
H3K4me1_chr1-104027 1_internal_22043
H3K4me1_chr1-104211 1_internal_22992
H3K4me1_chr1-104246 1_internal_19705
H3K4me1_chr1-104365 1_internal_24474
H3K4me1_chr1-104658 1_internal_25050
H3K4me1_chr1-104710 1_internal_18280
H3K4me1_chr1-105073 1_internal_25230
H3K4me1_chr1-105121 1_internal_25743
H3K4me1_chr1-105420 1_internal_22844
H3K4me1_chr1-105562 1_internal_17121
H3K4me1_chr1-105775 1_internal_19306
H3K4me1_chr1-105898 1_internal_17838
H3K4me1_chr1-106110 1_internal_20866
H3K4me1_chr1-106111 1_internal_20866
H3K4me1_chr1-106179 1_internal_20327
H3K4me1_chr1-106337 1_internal_18120
H3K4me1_chr1-106556 1_internal_19258
H3K4me1_chr1-106658 1_internal_22497
H3K4me1_chr1-106735 1_internal_24689
H3K4me1_chr1-106942 1_internal_24287
H3K4me1_chr1-107082 1_internal_20639
H3K4me1_chr1-107113 1_internal_18209
H3K4me1_chr1-107239 1_internal_16339
H3K4me1_chr1-107274 1_internal_17507
H3K4me1_chr1-107655 1_internal_25303
H3K4me1_chr1-107724 1_internal_20672
H3K4me1_chr1-107825 1_internal_18817
H3K4me1_chr1-107892 1_internal_16934
H3K4me1_chr1-107912 1_internal_20231
H3K4me1_chr1-108159 1_internal_18491
H3K4me1_chr1-108233 1_internal_20640
H3K4me1_chr1-108367 1_internal_20531
H3K4me1_chr1-108377 1_internal_24899
H3K4me1_chr1-108410 1_internal_24219
H3K4me1_chr1-108606 1_internal_22801
H3K4me1_chr1-108644 1_internal_25100
H3K4me1_chr1-108754 1_internal_24712
H3K4me1_chr1-108775 1_internal_25822
H3K4me1_chr1-108960 1_internal_15921
H3K4me1_chr1-108990 1_internal_25435
H3K4me1_chr1-109091 1_internal_16036
H3K4me1_chr1-109145 1_internal_24528
H3K4me1_chr1-109189 1_internal_23355
H3K4me1_chr1-109473 1_internal_20640
H3K4me1_chr1-109489 1_internal_25069
H3K4me1_chr1-109592 1_internal_21427
H3K4me1_chr1-109639 1_internal_22126
H3K4me1_chr1-109646 1_internal_20171
H3K4me1_chr1-109721 1_internal_22559
H3K4me1_chr1-110058 1_internal_20358
H3K4me1_chr1-110186 1_internal_24451
H3K4me1_chr1-110251 1_internal_24888
H3K4me1_chr1-110282 1_internal_18817
H3K4me1_chr1-110304 1_internal_18556
H3K4me1_chr1-110360 1_internal_24401
H3K4me1_chr1-110395 1_internal_26385
H3K4me1_chr1-110469 1_internal_18059
H3K4me1_chr1-110500 1_internal_26116
H3K4me1_chr1-110769 1_internal_18310
H3K4me1_chr1-110812 1_internal_23970
H3K4me1_chr1-110816 1_internal_24899
H3K4me1_chr1-110848 1_internal_18483
H3K4me1_chr1-110924 1_internal_19695
H3K4me1_chr1-111014 1_internal_24921
H3K4me1_chr1-111042 1_internal_26062
H3K4me1_chr1-111282 1_internal_17883
H3K4me1_chr1-111473 1_internal_18013
H3K4me1_chr1-111487 1_internal_17764
H3K4me1_chr1-111543 1_internal_25457
H3K4me1_chr1-111581 1_internal_25318
H3K4me1_chr1-111693 1_internal_26260
H3K4me1_chr1-111702 1_internal_23328
H3K4me1_chr1-111821 1_internal_25313
H3K4me1_chr1-111959 1_internal_17577
H3K4me1_chr1-111982 1_internal_24769
H3K4me1_chr1-112119 1_internal_17740
H3K4me1_chr1-112168 1_internal_19101
H3K4me1_chr1-112356 1_internal_19053
H3K4me1_chr1-112370 1_internal_26062
H3K4me1_chr1-112439 1_internal_19185
H3K4me1_chr1-112481 1_internal_16549
H3K4me1_chr1-112528 1_internal_24507
H3K4me1_chr1-112531 1_internal_17755
H3K4me1_chr1-112797 1_internal_19144
H3K4me1_chr1-112845 1_internal_19480
H3K4me1_chr1-112994 1_internal_24660
H3K4me1_chr1-113197 1_internal_17878
H3K4me1_chr1-113295 1_internal_18222
H3K4me1_chr1-113357 1_internal_24457
H3K4me1_chr1-113471 1_internal_17359
H3K4me1_chr1-113530 1_internal_20159
H3K4me1_chr1-113716 1_internal_22814
H3K4me1_chr1-113736 1_internal_17132
H3K4me1_chr1-113847 1_internal_20009
H3K4me1_chr1-113860 1_internal_25743
H3K4me1_chr1-113886 1_internal_25822
H3K4me1_chr1-113932 1_internal_18349
H3K4me1_chr1-113973 1_internal_20280
H3K4me1_chr1-114033 1_internal_18620
H3K4me1_chr1-114049 1_internal_23086
H3K4me1_chr1-114078 1_internal_25996
H3K4me1_chr1-114112 1_internal_22271
H3K4me1_chr1-114209 1_internal_15969
H3K4me1_chr1-114237 1_internal_17281
H3K4me1_chr1-114287 1_internal_17934
H3K4me1_chr1-114314 1_internal_27240
H3K4me1_chr1-114317 1_internal_26892
H3K4me1_chr1-114320 1_internal_26892
H3K4me1_chr1-114374 1_internal_26336
H3K4me1_chr1-114504 1_internal_24418
H3K4me1_chr1-114625 1_internal_18828
H3K4me1_chr1-114637 1_internal_24759
H3K4me1_chr1-114660 1_internal_25050
H3K4me1_chr1-114671 1_internal_17515
H3K4me1_chr1-114684 1_internal_23667
H3K4me1_chr1-114701 1_internal_24457
H3K4me1_chr1-114707 1_internal_17049
H3K4me1_chr1-114750 1_internal_18666
H3K4me1_chr1-114772 1_internal_18031
H3K4me1_chr1-114803 1_internal_21770
H3K4me1_chr1-114831 1_internal_19012
H3K4me1_chr1-114917 1_internal_25695
H3K4me1_chr1-114927 1_internal_25894
H3K4me1_chr1-115034 1_internal_19053
H3K4me1_chr1-115042 1_internal_17322
H3K4me1_chr1-115060 1_internal_26062
H3K4me1_chr1-115140 1_internal_19876
H3K4me1_chr1-115149 1_internal_19770
H3K4me1_chr1-115169 1_internal_20855
H3K4me1_chr1-115305 1_internal_23660
H3K4me1_chr1-115336 1_internal_20172
H3K4me1_chr1-115337 1_internal_17326
H3K4me1_chr1-115364 1_internal_17245
H3K4me1_chr1-115452 1_internal_19389
H3K4me1_chr1-115474 1_internal_20953
H3K4me1_chr1-115499 1_internal_17393
H3K4me1_chr1-115502 1_internal_19144
H3K4me1_chr1-115570 1_internal_25457
H3K4me1_chr1-115576 1_internal_19764
H3K4me1_chr1-115601 1_internal_26198
H3K4me1_chr1-115666 1_internal_19923
H3K4me1_chr1-115705 1_internal_17411
H3K4me1_chr1-115733 1_internal_24660
H3K4me1_chr1-115737 1_internal_18191
H3K4me1_chr1-115767 1_internal_25390
H3K4me1_chr1-115936 1_internal_18903
H3K4me1_chr1-116019 1_internal_18269
H3K4me1_chr1-116022 1_internal_20640
H3K4me1_chr1-116075 1_internal_24879
H3K4me1_chr1-116145 1_internal_23750
H3K4me1_chr1-116159 1_internal_17147
H3K4me1_chr1-116161 1_internal_24899
H3K4me1_chr1-116286 1_internal_18766
H3K4me1_chr1-116302 1_internal_24271
H3K4me1_chr1-116306 1_internal_25695
H3K4me1_chr1-116397 1_internal_21199
H3K4me1_chr1-116447 1_internal_26062
H3K4me1_chr1-116475 1_internal_21597
H3K4me1_chr1-116635 1_internal_18598
H3K4me1_chr1-116693 1_internal_23432
H3K4me1_chr1-116698 1_internal_20344
H3K4me1_chr1-116779 1_internal_17245
H3K4me1_chr1-116796 1_internal_20293
H3K4me1_chr1-116804 1_internal_25175
H3K4me1_chr1-116880 1_internal_18062
H3K4me1_chr1-116884 1_internal_18299
H3K4me1_chr1-116891 1_internal_22271
H3K4me1_chr1-116942 1_internal_24247
H3K4me1_chr1-116971 1_internal_17801
H3K4me1_chr1-117007 1_internal_25279
H3K4me1_chr1-117069 1_internal_26385
H3K4me1_chr1-117111 1_internal_24474
H3K4me1_chr1-117137 1_internal_22885
H3K4me1_chr1-117244 1_internal_17502
H3K4me1_chr1-117366 1_internal_21353
H3K4me1_chr1-117470 1_internal_24879
H3K4me1_chr1-117507 1_internal_19020
H3K4me1_chr1-117565 1_internal_22228
H3K4me1_chr1-117605 1_internal_17291
H3K4me1_chr1-117693 1_internal_18946
H3K4me1_chr1-117716 1_internal_25695
H3K4me1_chr1-117884 1_internal_18901
H3K4me1_chr1-117906 1_internal_21428
H3K4me1_chr1-117908 1_internal_21077
H3K4me1_chr1-117941 1_internal_19876
H3K4me1_chr1-118025 1_internal_25822
H3K4me1_chr1-118129 1_internal_24588
H3K4me1_chr1-118145 1_internal_24837
H3K4me1_chr1-118313 1_internal_24247
H3K4me1_chr1-118325 1_internal_21749
H3K4me1_chr1-118341 1_internal_18511
H3K4me1_chr1-118362 1_internal_19531
H3K4me1_chr1-118390 1_internal_17501
H3K4me1_chr1-118408 1_internal_25998
H3K4me1_chr1-118482 1_internal_19022
H3K4me1_chr1-118528 1_internal_16115
H3K4me1_chr1-118543 1_internal_24263
H3K4me1_chr1-118634 1_internal_24739
H3K4me1_chr1-118670 1_internal_24287
H3K4me1_chr1-118694 1_internal_18903
H3K4me1_chr1-118798 1_internal_20640
H3K4me1_chr1-118799 1_internal_19779
H3K4me1_chr1-118899 1_internal_25423
H3K4me1_chr1-118924 1_internal_17777
H3K4me1_chr1-119008 1_internal_15859
H3K4me1_chr1-119102 1_internal_18957
H3K4me1_chr1-119242 1_internal_20327
H3K4me1_chr1-119298 1_internal_19373
H3K4me1_chr1-119325 1_internal_24900
H3K4me1_chr1-119397 1_internal_25743
H3K4me1_chr1-119448 1_internal_25049
H3K4me1_chr1-119477 1_internal_20358
H3K4me1_chr1-119495 1_internal_18238
H3K4me1_chr1-119563 1_internal_24202
H3K4me1_chr1-119582 1_internal_19210
H3K4me1_chr1-119597 1_internal_18217
H3K4me1_chr1-119609 1_internal_17949
H3K4me1_chr1-119648 1_internal_19389
H3K4me1_chr1-119712 1_internal_22446
H3K4me1_chr1-119737 1_internal_20323
H3K4me1_chr1-119852 1_internal_19923
H3K4me1_chr1-119861 1_internal_16616
H3K4me1_chr1-119867 1_internal_17121
H3K4me1_chr1-119876 1_internal_23355
H3K4me1_chr1-119887 1_internal_18408
H3K4me1_chr1-119892 1_internal_24474
H3K4me1_chr1-119893 1_internal_24474
H3K4me1_chr1-119938 1_internal_23924
H3K4me1_chr1-120049 1_internal_24739
H3K4me1_chr1-120122 1_internal_17572
H3K4me1_chr1-120126 1_internal_22757
H3K4me1_chr1-120129 1_internal_18491
H3K4me1_chr1-120132 1_internal_24002
H3K4me1_chr1-120154 1_internal_24849
H3K4me1_chr1-120224 1_internal_19100
H3K4me1_chr1-120316 1_internal_21842
H3K4me1_chr1-120320 1_internal_25853
H3K4me1_chr1-120342 1_internal_20494
H3K4me1_chr1-120357 1_internal_17777
H3K4me1_chr1-120400 1_internal_22536
H3K4me1_chr1-120423 1_internal_17421
H3K4me1_chr1-120460 1_internal_23716
H3K4me1_chr1-120463 1_internal_22620
H3K4me1_chr1-120482 1_internal_20159
H3K4me1_chr1-120564 1_internal_24271
H3K4me1_chr1-120608 1_internal_20866
H3K4me1_chr1-120710 1_internal_24605
H3K4me1_chr1-120802 1_internal_24900
H3K4me1_chr1-120887 1_internal_25822
H3K4me1_chr1-120912 1_internal_25842
H3K4me1_chr1-120938 1_internal_25049
H3K4me1_chr1-120965 1_internal_20358
H3K4me1_chr1-120966 1_internal_17415
H3K4me1_chr1-120995 1_internal_17149
H3K4me1_chr1-121023 1_internal_19913
H3K4me1_chr1-121171 1_internal_26219
H3K4me1_chr1-121221 1_internal_18695
H3K4me1_chr1-121270 1_internal_25998
H3K4me1_chr1-121345 1_internal_24474
H3K4me1_chr1-121354 1_internal_22491
H3K4me1_chr1-121388 1_internal_24263
H3K4me1_chr1-121451 1_internal_21728
H3K4me1_chr1-121466 1_internal_25131
H3K4me1_chr1-121490 1_internal_24739
H3K4me1_chr1-121564 1_internal_24002
H3K4me1_chr1-121636 1_internal_25212
H3K4me1_chr1-121640 1_internal_25331
H3K4me1_chr1-121653 1_internal_19779
H3K4me1_chr1-121671 1_internal_25069
H3K4me1_chr1-121721 1_internal_16340
H3K4me1_chr1-121744 1_internal_25423
H3K4me1_chr1-121807 1_internal_22536
H3K4me1_chr1-121816 1_internal_20531
H3K4me1_chr1-121829 1_internal_18593
H3K4me1_chr1-121922 1_internal_20774
H3K4me1_chr1-121953 1_internal_25894
H3K4me1_chr1-121976 1_internal_25894
H3K4me1_chr1-122074 1_internal_24921
H3K4me1_chr1-122075 1_internal_20249
H3K4me1_chr1-122120 1_internal_18216
H3K4me1_chr1-122174 1_internal_17564
H3K4me1_chr1-122219 1_internal_17068
H3K4me1_chr1-122225 1_internal_25743
H3K4me1_chr1-122361 1_internal_16968
H3K4me1_chr1-122362 1_internal_17950
H3K4me1_chr1-122380 1_internal_17451
H3K4me1_chr1-122417 1_internal_18620
H3K4me1_chr1-122460 1_internal_18860
H3K4me1_chr1-122486 1_internal_20672
H3K4me1_chr1-122491 1_internal_24560
H3K4me1_chr1-122492 1_internal_15794
H3K4me1_chr1-122514 1_internal_20778
H3K4me1_chr1-122517 1_internal_23684
H3K4me1_chr1-122554 1_internal_24641
H3K4me1_chr1-122601 1_internal_24607
H3K4me1_chr1-122631 1_internal_18556
H3K4me1_chr1-122669 1_internal_19775
H3K4me1_chr1-122675 1_internal_21313
H3K4me1_chr1-122693 1_internal_23010
H3K4me1_chr1-122698 1_internal_25396
H3K4me1_chr1-122737 1_internal_26892
H3K4me1_chr1-122745 1_internal_26488
H3K4me1_chr1-122790 1_internal_23328
H3K4me1_chr1-122805 1_internal_26336
H3K4me1_chr1-122841 1_internal_18982
H3K4me1_chr1-122862 1_internal_17791
H3K4me1_chr1-122866 1_internal_17922
H3K4me1_chr1-122909 1_internal_22735
H3K4me1_chr1-122916 1_internal_19822
H3K4me1_chr1-123095 1_internal_22755
H3K4me1_chr1-123111 1_internal_19603
H3K4me1_chr1-123116 1_internal_24005
H3K4me1_chr1-123158 1_internal_17526
H3K4me1_chr1-123160 1_internal_22322
H3K4me1_chr1-123185 1_internal_25804
H3K4me1_chr1-123203 1_internal_18280
H3K4me1_chr1-123256 1_internal_17135
H3K4me1_chr1-123279 1_internal_22227
H3K4me1_chr1-123318 1_internal_17291
H3K4me1_chr1-123357 1_internal_23778
H3K4me1_chr1-123431 1_internal_16603
H3K4me1_chr1-123448 1_internal_16653
H3K4me1_chr1-123469 1_internal_20866
H3K4me1_chr1-123536 1_internal_21199
H3K4me1_chr1-123552 1_internal_24921
H3K4me1_chr1-123566 1_internal_22801
H3K4me1_chr1-123570 1_internal_27406
H3K4me1_chr1-123585 1_internal_26062
H3K4me1_chr1-123610 1_internal_25100
H3K4me1_chr1-123649 1_internal_21733
H3K4me1_chr1-123657 1_internal_16324
H3K4me1_chr1-123687 1_internal_19770
H3K4me1_chr1-123720 1_internal_18962
H3K4me1_chr1-123722 1_internal_20855
H3K4me1_chr1-123732 1_internal_20933
H3K4me1_chr1-123755 1_internal_25743
H3K4me1_chr1-123766 1_internal_20029
H3K4me1_chr1-123792 1_internal_17169
H3K4me1_chr1-123818 1_internal_25216
H3K4me1_chr1-123845 1_internal_18238
H3K4me1_chr1-123904 1_internal_21021
H3K4me1_chr1-123917 1_internal_16958
H3K4me1_chr1-123936 1_internal_16920
H3K4me1_chr1-123949 1_internal_19045
H3K4me1_chr1-123989 1_internal_25435
H3K4me1_chr1-124047 1_internal_22471
H3K4me1_chr1-124052 1_internal_24247
H3K4me1_chr1-124109 1_internal_19764
H3K4me1_chr1-124134 1_internal_26198
H3K4me1_chr1-124187 1_internal_24109
H3K4me1_chr1-124281 1_internal_17533
H3K4me1_chr1-124292 1_internal_26336
H3K4me1_chr1-124297 1_internal_24263
H3K4me1_chr1-124312 1_internal_17217
H3K4me1_chr1-124368 1_internal_26549
H3K4me1_chr1-124392 1_internal_22735
H3K4me1_chr1-124425 1_internal_24739
H3K4me1_chr1-124458 1_internal_18123
H3K4me1_chr1-124489 1_internal_22292
H3K4me1_chr1-124502 1_internal_21471
H3K4me1_chr1-124513 1_internal_19626
H3K4me1_chr1-124521 1_internal_18281
H3K4me1_chr1-124535 1_internal_19240
H3K4me1_chr1-124586 1_internal_20640
H3K4me1_chr1-124589 1_internal_19100
H3K4me1_chr1-124608 1_internal_25069
H3K4me1_chr1-124684 1_internal_18310
H3K4me1_chr1-124700 1_internal_18666
H3K4me1_chr1-124767 1_internal_18262
H3K4me1_chr1-124777 1_internal_19776
H3K4me1_chr1-124782 1_internal_17291
H3K4me1_chr1-124795 1_internal_24702
H3K4me1_chr1-124814 1_internal_24241
H3K4me1_chr1-124831 1_internal_24973
H3K4me1_chr1-124832 1_internal_24973
H3K4me1_chr1-124948 1_internal_18712
H3K4me1_chr1-124971 1_internal_16910
H3K4me1_chr1-125019 1_internal_24962
H3K4me1_chr1-125078 1_internal_24921
H3K4me1_chr1-125091 1_internal_27406
H3K4me1_chr1-125140 1_internal_18901
H3K4me1_chr1-125141 1_internal_18901
H3K4me1_chr1-125143 1_internal_23489
H3K4me1_chr1-125145 1_internal_23489
H3K4me1_chr1-125172 1_internal_21077
H3K4me1_chr1-125185 1_internal_21733
H3K4me1_chr1-125214 1_internal_25230
H3K4me1_chr1-125252 1_internal_16549
H3K4me1_chr1-125258 1_internal_25327
H3K4me1_chr1-125260 1_internal_21911
H3K4me1_chr1-125299 1_internal_25842
H3K4me1_chr1-125337 1_internal_25049
H3K4me1_chr1-125351 1_internal_17685
H3K4me1_chr1-125417 1_internal_17744
H3K4me1_chr1-125419 1_internal_20280
H3K4me1_chr1-125439 1_internal_17451
H3K4me1_chr1-125461 1_internal_25303
H3K4me1_chr1-125468 1_internal_21021
H3K4me1_chr1-125469 1_internal_24202
H3K4me1_chr1-125472 1_internal_18154
H3K4me1_chr1-125504 1_internal_18217
H3K4me1_chr1-125536 1_internal_18764
H3K4me1_chr1-125543 1_internal_25652
H3K4me1_chr1-125544 1_internal_16437
H3K4me1_chr1-125548 1_internal_18278
H3K4me1_chr1-125575 1_internal_20778
H3K4me1_chr1-125581 1_internal_23684
H3K4me1_chr1-125634 1_internal_26219
H3K4me1_chr1-125744 1_internal_21313
H3K4me1_chr1-125767 1_internal_17934
H3K4me1_chr1-125778 1_internal_26385
H3K4me1_chr1-125779 1_internal_26385
H3K4me1_chr1-125780 1_internal_26385
H3K4me1_chr1-125790 1_internal_18791
H3K4me1_chr1-125807 1_internal_21534
H3K4me1_chr1-125808 1_internal_23798
H3K4me1_chr1-125832 1_internal_24474
H3K4me1_chr1-125847 1_internal_22491
H3K4me1_chr1-125849 1_internal_22491
H3K4me1_chr1-125876 1_internal_25390
H3K4me1_chr1-125886 1_internal_24263
H3K4me1_chr1-125963 1_internal_26549
H3K4me1_chr1-126010 1_internal_25313
H3K4me1_chr1-126046 1_internal_16879
H3K4me1_chr1-126064 1_internal_26081
H3K4me1_chr1-126145 1_internal_21353
H3K4me1_chr1-126196 1_internal_22755
H3K4me1_chr1-126197 1_internal_23350
H3K4me1_chr1-126202 1_internal_19583
H3K4me1_chr1-126221 1_internal_25069
H3K4me1_chr1-126222 1_internal_25069
H3K4me1_chr1-126224 1_internal_25069
H3K4me1_chr1-126226 1_internal_25069
H3K4me1_chr1-126231 1_internal_25050
H3K4me1_chr1-126254 1_internal_22322
H3K4me1_chr1-126269 1_internal_24313
H3K4me1_chr1-126368 1_internal_18743
H3K4me1_chr1-126386 1_internal_22227
H3K4me1_chr1-126392 1_internal_17063
H3K4me1_chr1-126407 1_internal_17015
H3K4me1_chr1-126438 1_internal_24702
H3K4me1_chr1-126481 1_internal_24497
H3K4me1_chr1-126489 1_internal_17080
H3K4me1_chr1-126491 1_internal_17619
H3K4me1_chr1-126562 1_internal_21280
H3K4me1_chr1-126596 1_internal_18712
H3K4me1_chr1-126599 1_internal_17861
H3K4me1_chr1-126610 1_internal_20866
H3K4me1_chr1-126689 1_internal_23457
H3K4me1_chr1-126697 1_internal_27406
H3K4me1_chr1-126710 1_internal_16731
H3K4me1_chr1-126732 1_internal_18884
H3K4me1_chr1-126745 1_internal_18901
H3K4me1_chr1-126752 1_internal_21597
H3K4me1_chr1-126756 1_internal_23190
H3K4me1_chr1-126795 1_internal_18650
H3K4me1_chr1-126800 1_internal_24900
H3K4me1_chr1-126802 1_internal_24900
H3K4me1_chr1-126868 1_internal_16549
H3K4me1_chr1-126869 1_internal_20933
H3K4me1_chr1-126878 1_internal_25327
H3K4me1_chr1-126879 1_internal_17500
H3K4me1_chr1-126880 1_internal_21206
H3K4me1_chr1-126894 1_internal_18223
H3K4me1_chr1-126899 1_internal_18494
H3K4me1_chr1-126905 1_internal_25822
H3K4me1_chr1-126948 1_internal_25049
H3K4me1_chr1-126959 1_internal_20100
H3K4me1_chr1-126978 1_internal_23432
H3K4me1_chr1-126982 1_internal_20358
H3K4me1_chr1-127048 1_internal_20592
H3K4me1_chr1-127069 1_internal_25303
H3K4me1_chr1-127088 1_internal_17854
H3K4me1_chr1-127094 1_internal_25175
H3K4me1_chr1-127102 1_internal_18892
H3K4me1_chr1-127127 1_internal_17949
H3K4me1_chr1-127181 1_internal_24685
H3K4me1_chr1-127237 1_internal_18599
H3K4me1_chr1-127248 1_internal_24641
H3K4me1_chr1-127249 1_internal_22992
H3K4me1_chr1-127250 1_internal_22992
H3K4me1_chr1-127263 1_internal_24732
H3K4me1_chr1-127280 1_internal_24499
H3K4me1_chr1-127441 1_internal_27240
H3K4me1_chr1-127444 1_internal_27240
H3K4me1_chr1-127462 1_internal_15997
H3K4me1_chr1-127480 1_internal_24474
H3K4me1_chr1-127494 1_internal_24474
H3K4me1_chr1-127497 1_internal_24660
H3K4me1_chr1-127504 1_internal_21894
H3K4me1_chr1-127507 1_internal_18595
H3K4me1_chr1-127508 1_internal_22885
H3K4me1_chr1-127512 1_internal_26260
H3K4me1_chr1-127525 1_internal_25328
H3K4me1_chr1-127528 1_internal_16115
H3K4me1_chr1-127542 1_internal_23924
H3K4me1_chr1-127568 1_internal_22897
H3K4me1_chr1-127621 1_internal_20387
H3K4me1_chr1-127625 1_internal_20387
H3K4me1_chr1-127651 1_internal_24739
H3K4me1_chr1-127660 1_internal_20924
H3K4me1_chr1-127695 1_internal_26081
H3K4me1_chr1-127696 1_internal_26081
H3K4me1_chr1-127704 1_internal_16947
H3K4me1_chr1-127730 1_internal_17754
H3K4me1_chr1-127787 1_internal_18269
H3K4me1_chr1-127819 1_internal_25050
H3K4me1_chr1-127840 1_internal_23284
H3K4me1_chr1-127853 1_internal_20639
H3K4me1_chr1-127860 1_internal_19154
H3K4me1_chr1-127864 1_internal_25804
H3K4me1_chr1-127888 1_internal_16034
H3K4me1_chr1-127930 1_internal_18666
H3K4me1_chr1-127943 1_internal_23365
H3K4me1_chr1-127952 1_internal_16826
H3K4me1_chr1-127953 1_internal_18876
